abstain_notional_usd,abstain_positive_lp_loss_usd,all_horizons_observed,all_horizons_observed_rate,any_label_disagreement,any_label_disagreement_rate,count,dimension,group,legacy_abstain,legacy_benign,legacy_toxic,missing_economic_accounting,missing_economic_accounting_rate,missing_usd_conversion,missing_usd_conversion_rate,notional_usd,positive_lp_loss_usd,primary_observed,primary_observed_rate,resolved_label_conflict,resolved_label_conflict_rate,v3_abstain,v3_abstain_rate,v3_benign,v3_benign_rate,v3_toxic,v3_toxic_rate
0.42326449085333934,4.03265687533956e-05,1582,0.3616,1544,0.35291428571428574,4375,pool_month_direction_regime,paxg_usdc_500|2026-01|zero_for_one|stress,3008,1175,192,0,0.0,2551,0.5830857142857143,0.7391645233872424,9.560265493168226e-05,1824,0.41691428571428574,3,0.0006857142857142857,2717,0.6210285714285714,1620,0.3702857142857143,38,0.008685714285714286
12253132.435534997,8428.195370248955,1690,0.3746397694524496,1939,0.4298381733540235,4511,pool_month_direction_regime,paxg_usdc_500|2026-02|one_for_zero|stress,3751,2,758,0,0.0,2336,0.517845267124806,20660478.747635014,51849.59915622798,2175,0.48215473287519395,10,0.0022168033695411215,2936,0.6508534692972733,348,0.07714475726003103,1227,0.27200177344269566
0.45064293355875745,4.751753202773609e-05,1886,0.3944781426479816,1712,0.3580840828278603,4781,pool_month_direction_regime,paxg_usdc_500|2026-02|zero_for_one|stress,3712,883,186,0,0.0,2432,0.5086801924283623,0.8382201419804037,0.00023080490386542612,2349,0.49131980757163773,12,0.0025099351600083664,2852,0.5965279230286551,1733,0.3624764693578749,196,0.040995607613469986
5681274.807875996,1296.8215711247688,1090,0.38299367533380185,996,0.3499648629655657,2846,pool_month_direction_regime,paxg_usdc_500|2026-03|one_for_zero|stress,2115,298,433,0,0.0,1430,0.5024595924104006,9603966.849333981,20929.721312637423,1416,0.49754040758959944,2,0.0007027406886858749,1701,0.5976809557273366,380,0.13352073085031624,765,0.26879831342234717
0.19487595669575322,6.660273798778552e-05,950,0.3729878288182175,1075,0.4220651747153514,2547,pool_month_direction_regime,paxg_usdc_500|2026-03|zero_for_one|stress,1850,405,292,0,0.0,1290,0.5064782096584217,0.36600246984008505,0.0001370010259925886,1257,0.49352179034157834,18,0.007067137809187279,1563,0.6136631330977621,823,0.3231252453867295,161,0.06321162151550844
1057045.1001270004,44.78237526734606,464,0.5155555555555555,327,0.36333333333333334,900,pool_month_direction_regime,paxg_usdc_500|2026-04|one_for_zero|stress,382,448,70,0,0.0,271,0.3011111111111111,2890901.7804820007,44.78237526734606,629,0.6988888888888889,17,0.01888888888888889,312,0.3466666666666667,588,0.6533333333333333,0,0.0
0.07275531620922385,9.501351895495261e-06,413,0.5308483290488432,363,0.4665809768637532,778,pool_month_direction_regime,paxg_usdc_500|2026-04|zero_for_one|stress,574,0,204,0,0.0,250,0.3213367609254499,0.10822243509844216,0.00014423206598931947,528,0.6786632390745502,3,0.0038560411311053984,462,0.5938303341902313,14,0.017994858611825194,302,0.38817480719794345
1424094.5523520005,73.68951988967967,216,0.34394904458598724,261,0.4156050955414013,628,pool_month_direction_regime,paxg_usdc_500|2026-05|one_for_zero|stress,342,216,70,0,0.0,275,0.43789808917197454,4592511.005617002,73.68951988967967,353,0.5621019108280255,11,0.01751592356687898,290,0.46178343949044587,338,0.5382165605095541,0,0.0
0.13221145674600587,3.467572492280893e-05,190,0.3104575163398693,227,0.3709150326797386,612,pool_month_direction_regime,paxg_usdc_500|2026-05|zero_for_one|stress,458,0,154,0,0.0,281,0.4591503267973856,0.20460260650145215,0.0003332538680459136,331,0.5408496732026143,2,0.0032679738562091504,423,0.6911764705882353,2,0.0032679738562091504,187,0.3055555555555556
2351043.571573,516.2871119219698,187,0.2457293035479632,508,0.6675427069645203,761,pool_month_direction_regime,paxg_usdc_500|2026-06|one_for_zero|stress,340,192,229,0,0.0,429,0.5637319316688568,4314800.218673998,745.1858859389786,332,0.43626806833114323,12,0.01576872536136662,490,0.6438896189224704,269,0.35348226018396844,2,0.002628120893561104
0.24074628114449617,1.977864636487089e-05,223,0.2410810810810811,232,0.2508108108108108,925,pool_month_direction_regime,paxg_usdc_500|2026-06|zero_for_one|stress,765,2,158,0,0.0,515,0.5567567567567567,0.35231901367768753,0.00019302394199976052,410,0.44324324324324327,5,0.005405405405405406,722,0.7805405405405406,21,0.022702702702702703,182,0.19675675675675675
0.0,0.0,1559,1.0,895,0.5740859525336754,1559,pool_month_direction_regime,uni_weth_3000|2025-10|one_for_zero|normal,1137,93,329,0,0.0,1559,1.0,0.0,0.0,1558,0.9993585631815266,11,0.007055805003207184,565,0.3624118024374599,374,0.23989737010904427,620,0.3976908274534958
0.0,0.0,1552,1.0,811,0.5225515463917526,1552,pool_month_direction_regime,uni_weth_3000|2025-10|one_for_zero|stress,1131,86,335,0,0.0,1552,1.0,0.0,0.0,1552,1.0,8,0.005154639175257732,664,0.42783505154639173,300,0.19329896907216496,588,0.3788659793814433
0.0,0.0,2016,0.9995042141794744,1169,0.579573624194348,2017,pool_month_direction_regime,uni_weth_3000|2025-10|zero_for_one|normal,1439,66,512,0,0.0,2017,1.0,0.0,0.0,2017,1.0,8,0.0039662865642042635,776,0.3847297967278136,280,0.13882002974714924,961,0.47645017352503716
0.0,0.0,1719,1.0,911,0.5299592786503782,1719,pool_month_direction_regime,uni_weth_3000|2025-10|zero_for_one|stress,1292,96,331,0,0.0,1719,1.0,0.0,0.0,1719,1.0,10,0.005817335660267597,675,0.39267015706806285,345,0.2006980802792321,699,0.40663176265270506
39440740.81239988,47011.11068305208,17113,0.9012534232146618,9615,0.5063724457552138,18988,pool_month_direction_regime,wbtc_usdc_500|2025-10|one_for_zero|normal,12443,1397,5148,0,0.0,1360,0.07162418369496525,83318180.05457392,469348.72255196935,17628,0.9283758163050347,326,0.017168738150410787,10504,0.5531914893617021,4368,0.23004002527912365,4116,0.21676848535917423
1774522.398838999,2258.780794094198,583,0.836441893830703,347,0.49784791965566716,697,pool_month_direction_regime,wbtc_usdc_500|2025-10|one_for_zero|stress,485,60,152,0,0.0,111,0.15925394548063126,10653777.292677997,410906.18103883567,586,0.8407460545193687,3,0.00430416068866571,377,0.5408895265423243,162,0.23242467718794835,158,0.2266857962697274
