trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,outcome,pools_passing_acceptance,min_clear_rate,mean_clear_rate,mean_recapture_pct,std_recapture_pct,min_recapture_pct,max_recapture_pct,mean_gain_vs_v3_pp,min_gain_vs_v3_pp,mean_solver_payout_bps,total_trigger_events
5,1,100,0.5,5000,all four pools pass,4,1.0,1.0,98.99363495770271,0.004312565764379665,98.9863928527034,98.99763828271959,66.08760035729455,46.423743176615524,99.98505511591495,7786
5,1,100,1,2500,all four pools pass,4,1.0,1.0,98.99363495770271,0.004312565764379665,98.9863928527034,98.99763828271959,66.08760035729455,46.423743176615524,99.98505511591495,7786
5,1,100,1,5000,all four pools pass,4,1.0,1.0,98.99363495770271,0.004312565764379665,98.9863928527034,98.99763828271959,66.08760035729455,46.423743176615524,99.98505511591495,7786
5,1,100,5,2500,all four pools pass,4,1.0,1.0,98.99363495770271,0.004312565764379665,98.9863928527034,98.99763828271959,66.08760035729455,46.423743176615524,99.98505511591495,7786
5,1,100,5,5000,all four pools pass,4,1.0,1.0,98.99363495770271,0.004312565764379665,98.9863928527034,98.99763828271959,66.08760035729455,46.423743176615524,99.98505511591495,7786
10,1,100,0.5,2500,all four pools pass,4,1.0,1.0,98.91268372333938,0.07407156218372717,98.78654253305936,98.97366156086527,66.00664912293124,46.364501931095795,99.87456994684473,7391
10,1,100,0.5,5000,all four pools pass,4,1.0,1.0,98.91268372333938,0.07407156218372717,98.78654253305936,98.97366156086527,66.00664912293124,46.364501931095795,99.87456994684473,7391
10,1,100,1,2500,all four pools pass,4,1.0,1.0,98.91268372333938,0.07407156218372717,98.78654253305936,98.97366156086527,66.00664912293124,46.364501931095795,99.87456994684473,7391
10,1,100,1,5000,all four pools pass,4,1.0,1.0,98.91268372333938,0.07407156218372717,98.78654253305936,98.97366156086527,66.00664912293124,46.364501931095795,99.87456994684473,7391
10,1,100,5,2500,all four pools pass,4,1.0,1.0,98.91268372333938,0.07407156218372717,98.78654253305936,98.97366156086527,66.00664912293124,46.364501931095795,99.87456994684473,7391
10,1,100,5,5000,all four pools pass,4,1.0,1.0,98.91268372333938,0.07407156218372717,98.78654253305936,98.97366156086527,66.00664912293124,46.364501931095795,99.87456994684473,7391
25,1,10,0.5,2500,all four pools pass,4,1.0,1.0,98.64697281455453,0.9326629008230136,97.08102643717557,99.52944158304194,65.74093821414637,46.33137946626483,9.856324734076686,6427
25,1,10,0.5,5000,all four pools pass,4,1.0,1.0,98.64697281455453,0.9326629008230136,97.08102643717557,99.52944158304194,65.74093821414637,46.33137946626483,9.856324734076686,6427
25,1,10,1,2500,all four pools pass,4,1.0,1.0,98.64697281455453,0.9326629008230136,97.08102643717557,99.52944158304194,65.74093821414637,46.33137946626483,9.856324734076686,6427
25,1,10,1,5000,all four pools pass,4,1.0,1.0,98.64697281455453,0.9326629008230136,97.08102643717557,99.52944158304194,65.74093821414637,46.33137946626483,9.856324734076686,6427
25,1,10,5,2500,all four pools pass,4,1.0,1.0,98.64697281455453,0.9326629008230136,97.08102643717557,99.52944158304194,65.74093821414637,46.33137946626483,9.856324734076686,6427
25,1,10,5,5000,all four pools pass,4,1.0,1.0,98.64697281455453,0.9326629008230136,97.08102643717557,99.52944158304194,65.74093821414637,46.33137946626483,9.856324734076686,6427
25,1,30,0.5,2500,all four pools pass,4,1.0,1.0,98.449846319873,0.9305147393079253,96.88750947801745,99.33029316920388,65.54381171946484,46.133660969636644,29.56897420223006,6427
25,1,30,0.5,5000,all four pools pass,4,1.0,1.0,98.449846319873,0.9305147393079253,96.88750947801745,99.33029316920388,65.54381171946484,46.133660969636644,29.56897420223006,6427
25,1,30,1,2500,all four pools pass,4,1.0,1.0,98.449846319873,0.9305147393079253,96.88750947801745,99.33029316920388,65.54381171946484,46.133660969636644,29.56897420223006,6427
25,1,30,1,5000,all four pools pass,4,1.0,1.0,98.449846319873,0.9305147393079253,96.88750947801745,99.33029316920388,65.54381171946484,46.133660969636644,29.56897420223006,6427
25,1,30,5,2500,all four pools pass,4,1.0,1.0,98.449846319873,0.9305147393079253,96.88750947801745,99.33029316920388,65.54381171946484,46.133660969636644,29.56897420223006,6427
25,1,30,5,5000,all four pools pass,4,1.0,1.0,98.449846319873,0.9305147393079253,96.88750947801745,99.33029316920388,65.54381171946484,46.133660969636644,29.56897420223006,6427
25,5,100,0.5,2500,all four pools pass,4,1.0,1.0,98.43246012470463,0.4172889167597257,97.73428529123312,98.83713183522734,65.52642552429649,45.97480817213444,98.68157513268636,6438
25,5,100,0.5,5000,all four pools pass,4,1.0,1.0,98.43246012470463,0.4172889167597257,97.73428529123312,98.83713183522734,65.52642552429649,45.97480817213444,98.68157513268636,6438
25,5,100,1,2500,all four pools pass,4,1.0,1.0,98.43246012470463,0.4172889167597257,97.73428529123312,98.83713183522734,65.52642552429649,45.97480817213444,98.68157513268636,6438
25,5,100,1,5000,all four pools pass,4,1.0,1.0,98.43246012470463,0.4172889167597257,97.73428529123312,98.83713183522734,65.52642552429649,45.97480817213444,98.68157513268636,6438
25,5,100,5,2500,all four pools pass,4,1.0,1.0,98.43246012470463,0.4172889167597257,97.73428529123312,98.83713183522734,65.52642552429649,45.97480817213444,98.68157513268636,6438
25,5,100,5,5000,all four pools pass,4,1.0,1.0,98.43246012470463,0.4172889167597257,97.73428529123312,98.83713183522734,65.52642552429649,45.97480817213444,98.68157513268636,6438
25,1,100,0.5,2500,all four pools pass,4,1.0,1.0,97.75990358848763,0.9229961744883945,96.21020012096402,98.63327372077067,64.85386898807947,45.44164623143802,98.56324734076686,6427
25,1,100,0.5,5000,all four pools pass,4,1.0,1.0,97.75990358848763,0.9229961744883945,96.21020012096402,98.63327372077067,64.85386898807947,45.44164623143802,98.56324734076686,6427
25,1,100,1,2500,all four pools pass,4,1.0,1.0,97.75990358848763,0.9229961744883945,96.21020012096402,98.63327372077067,64.85386898807947,45.44164623143802,98.56324734076686,6427
25,1,100,1,5000,all four pools pass,4,1.0,1.0,97.75990358848763,0.9229961744883945,96.21020012096402,98.63327372077067,64.85386898807947,45.44164623143802,98.56324734076686,6427
25,1,100,5,2500,all four pools pass,4,1.0,1.0,97.75990358848763,0.9229961744883945,96.21020012096402,98.63327372077067,64.85386898807947,45.44164623143802,98.56324734076686,6427
25,1,100,5,5000,all four pools pass,4,1.0,1.0,97.75990358848763,0.9229961744883945,96.21020012096402,98.63327372077067,64.85386898807947,45.44164623143802,98.56324734076686,6427
50,5,10,0.5,2500,all four pools pass,4,1.0,1.0,95.4558904901667,3.0806589822998838,90.32452027424075,98.51440800811592,62.54985588975853,44.1743584398182,9.342394119132166,5511
50,5,10,0.5,5000,all four pools pass,4,1.0,1.0,95.4558904901667,3.0806589822998838,90.32452027424075,98.51440800811592,62.54985588975853,44.1743584398182,9.342394119132166,5511
50,5,10,1,2500,all four pools pass,4,1.0,1.0,95.4558904901667,3.0806589822998838,90.32452027424075,98.51440800811592,62.54985588975853,44.1743584398182,9.342394119132166,5511
50,5,10,1,5000,all four pools pass,4,1.0,1.0,95.4558904901667,3.0806589822998838,90.32452027424075,98.51440800811592,62.54985588975853,44.1743584398182,9.342394119132166,5511
50,5,10,5,2500,all four pools pass,4,1.0,1.0,95.4558904901667,3.0806589822998838,90.32452027424075,98.51440800811592,62.54985588975853,44.1743584398182,9.342394119132166,5511
50,5,10,5,5000,all four pools pass,4,1.0,1.0,95.4558904901667,3.0806589822998838,90.32452027424075,98.51440800811592,62.54985588975853,44.1743584398182,9.342394119132166,5511
50,5,30,0.5,2500,all four pools pass,4,1.0,1.0,95.26904260778406,3.071363727358669,90.15320171954029,98.31843547448827,62.363008007375896,43.98369655778843,28.0271823573965,5511
50,5,30,0.5,5000,all four pools pass,4,1.0,1.0,95.26904260778406,3.071363727358669,90.15320171954029,98.31843547448827,62.363008007375896,43.98369655778843,28.0271823573965,5511
50,5,30,1,2500,all four pools pass,4,1.0,1.0,95.26904260778406,3.071363727358669,90.15320171954029,98.31843547448827,62.363008007375896,43.98369655778843,28.0271823573965,5511
50,5,30,1,5000,all four pools pass,4,1.0,1.0,95.26904260778406,3.071363727358669,90.15320171954029,98.31843547448827,62.363008007375896,43.98369655778843,28.0271823573965,5511
50,5,30,5,2500,all four pools pass,4,1.0,1.0,95.26904260778406,3.071363727358669,90.15320171954029,98.31843547448827,62.363008007375896,43.98369655778843,28.0271823573965,5511
50,5,30,5,5000,all four pools pass,4,1.0,1.0,95.26904260778406,3.071363727358669,90.15320171954029,98.31843547448827,62.363008007375896,43.98369655778843,28.0271823573965,5511
50,5,100,0.5,2500,all four pools pass,4,1.0,1.0,94.6150750194448,3.0388303806873114,89.55358677808869,97.63253160679146,61.70904041903664,43.31637997068422,93.42394119132166,5511
50,5,100,0.5,5000,all four pools pass,4,1.0,1.0,94.6150750194448,3.0388303806873114,89.55358677808869,97.63253160679146,61.70904041903664,43.31637997068422,93.42394119132166,5511
50,5,100,1,2500,all four pools pass,4,1.0,1.0,94.6150750194448,3.0388303806873114,89.55358677808869,97.63253160679146,61.70904041903664,43.31637997068422,93.42394119132166,5511
50,5,100,1,5000,all four pools pass,4,1.0,1.0,94.6150750194448,3.0388303806873114,89.55358677808869,97.63253160679146,61.70904041903664,43.31637997068422,93.42394119132166,5511
50,5,100,5,2500,all four pools pass,4,1.0,1.0,94.6150750194448,3.0388303806873114,89.55358677808869,97.63253160679146,61.70904041903664,43.31637997068422,93.42394119132166,5511
50,5,100,5,5000,all four pools pass,4,1.0,1.0,94.6150750194448,3.0388303806873114,89.55358677808869,97.63253160679146,61.70904041903664,43.31637997068422,93.42394119132166,5511
50,1,10,0.5,2500,all four pools pass,4,1.0,1.0,94.6015760607018,3.715811211227313,88.48586139492402,98.37240967691723,61.69554146029365,43.85830554857038,9.42793104171865,5613
50,1,10,0.5,5000,all four pools pass,4,1.0,1.0,94.6015760607018,3.715811211227313,88.48586139492402,98.37240967691723,61.69554146029365,43.85830554857038,9.42793104171865,5613
50,1,10,1,2500,all four pools pass,4,1.0,1.0,94.6015760607018,3.715811211227313,88.48586139492402,98.37240967691723,61.69554146029365,43.85830554857038,9.42793104171865,5613
