base_train_count,branch,calibration_count,evaluation_scheme,fold,group_support,heldout_pool,intercept,kind,purge_seconds,slope,support,target,test_count
122629,zero_gap,2458,rolling_pool_held_out,2026-05_to_2026-06,7,eurc_usdc_500,-1.7418491940793706,platt,3600,0.9529051839072437,697,conditional_toxicity,570
104464,closes_gap,1777,rolling_pool_held_out,2026-05_to_2026-06,8,paxg_usdc_500,-2.031243658524846,platt,3600,0.36072050759873125,717,resolution,1686
104464,widens_gap,1777,rolling_pool_held_out,2026-05_to_2026-06,8,paxg_usdc_500,0.1020456166069433,platt,3600,1.011817124956699,749,resolution,1686
104464,zero_gap,1777,rolling_pool_held_out,2026-05_to_2026-06,8,paxg_usdc_500,0.07094543557798569,platt,3600,1.049920828757035,1466,resolution,1686
104464,closes_gap,1777,rolling_pool_held_out,2026-05_to_2026-06,8,paxg_usdc_500,-0.9723882510868244,platt,3600,0.6821549746707918,465,conditional_toxicity,1686
104464,widens_gap,1777,rolling_pool_held_out,2026-05_to_2026-06,8,paxg_usdc_500,-0.7069172177701222,platt,3600,0.2700990646396229,436,conditional_toxicity,1686
104464,zero_gap,1777,rolling_pool_held_out,2026-05_to_2026-06,8,paxg_usdc_500,-0.9723882510868244,platt,3600,0.6821549746707918,465,conditional_toxicity,1686
92851,closes_gap,1763,rolling_pool_held_out,2026-05_to_2026-06,8,weth_usdc_3000,1.2013040106332464,platt,3600,1.386496490407539,857,resolution,4459
92851,widens_gap,1763,rolling_pool_held_out,2026-05_to_2026-06,8,weth_usdc_3000,-0.36183474124210274,platt,3600,1.4050464355637793,722,resolution,4459
92851,zero_gap,1763,rolling_pool_held_out,2026-05_to_2026-06,8,weth_usdc_3000,-0.18410721507614008,platt,3600,0.8446432568375215,1579,resolution,4459
92851,closes_gap,1763,rolling_pool_held_out,2026-05_to_2026-06,7,weth_usdc_3000,-1.095723357889504,platt,3600,0.6486038360676764,424,conditional_toxicity,4459
92851,widens_gap,1763,rolling_pool_held_out,2026-05_to_2026-06,7,weth_usdc_3000,-0.4214931660246224,platt,3600,1.0000096880280274e-06,333,conditional_toxicity,4459
92851,zero_gap,1763,rolling_pool_held_out,2026-05_to_2026-06,7,weth_usdc_3000,-1.095723357889504,platt,3600,0.6486038360676764,424,conditional_toxicity,4459
