block_number,block_timestamp,reference_price,pool_price_before,pool_price_after,stale_gap_bps_before,stale_gap_sign,stale_loss_bps,stale_gap_bps_after,residual_gap_bps_after_trade,strategy,auction_open,auction_triggered_this_block,auction_cleared_this_block,fallback_triggered_this_block,agent_traded,auction_trigger_block,auction_clear_block,delay_blocks_if_trade,delay_seconds_if_trade,agent_profit_quote,solver_payment_quote,solver_competition_mode,n_active_solvers,winning_solver_id,winning_solver_required_quote,second_best_solver_required_quote,winning_solver_profit_quote,lp_fee_revenue_quote,gross_lvr_quote,potential_gross_lvr_quote,foregone_gross_lvr_quote,lp_net_quote,cumulative_gap_time_bps_blocks,stale_seconds_to_next_observed_block,gap_time_bps_seconds_to_next_observed_block,fail_closed,rejected_for_unprofitability,latest_oracle_move_bps,block_calendar_policy,reference_update_policy,decision_reason
23480160,1759287899,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480160,1759287899,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,dutch_auction_parameterized,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,272.38318691337395,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480160,1759287899,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1523.6347109780957,36,965.882529596256,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23480163,1759287935,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480163,1759287935,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,dutch_auction_parameterized,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,272.38318691337395,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480163,1759287935,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1550.4647812446583,12,321.96084319875195,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23480164,1759287947,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480164,1759287947,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,dutch_auction_parameterized,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,272.38318691337395,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480164,1759287947,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1577.2948515112212,576,15454.120473540095,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23480212,1759288523,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
