timestamp,block_number,tx_hash,log_index,price_wad,price
1760123567,23549335,0xdd53ca51022a6094d3e66e70166900a780f841dfde75f0a7a2fc1c4456421ae6,7,4026508250233537278470,4026.50825023353727847
1760124143,23549383,0xd15f785fff522f6a5cf3f19bff488479ee156f52c89205305ae090d3f5cc31b3,381,4006249347048323350122,4006.249347048323350122
1760124407,23549405,0x28ccc3d0b7a8043003e3d16240535b98ecb54899651cbbbb2b190fd26bec1f16,41,4028228616929698565249,4028.228616929698565249
1760124527,23549415,0xdc7c041ef0cf53b12429ad7f183e37aff3caa145dcd5b02f6280bc851cf3cc01,576,4000190940699009993980,4000.19094069900999398
1760124611,23549422,0x739cc18b316927e270d449c673bfbdf3ad23e326c707a23fe2d0a43959d0e2c5,6,3965545255971310284787,3965.545255971310284787
1760124671,23549427,0x2f824496b72ba5a5e728368cb00e480c8db3e3a550421fbc857c7880409ce277,349,3989868898685754868650,3989.86889868575486865
1760124851,23549442,0x5acd14c5d994d49ef5290cd388f762b8ec06105cb5b43aebfab3a0511261aa1a,632,3963572296825068263300,3963.5722968250682633
1760124971,23549452,0xe1ba24bf2ffbc37b1c4da0e3632ff1d92129e7d2ab0e65f0cb7e0716a266c2fc,543,3983678639041911783496,3983.678639041911783496
1760125331,23549482,0xa9f8a429a3138ee85956477297a5e2eb67596482c0bcc524774cd146a92f95e5,335,4010052487687750644049,4010.052487687750644049
1760125547,23549500,0x14ddad6780251f22642ca7d9ef13d35420d8cc26298950790fa4c49a2a02b2b3,370,4031129235196482130166,4031.129235196482130166
1760126087,23549544,0x51f5b62b2d4cba95d2a4640f10f6c3bcb0815731f468f8b6117731986130998b,338,4010343989441349423629,4010.343989441349423629
1760129447,23549823,0x90013279bea86ac607eab183914c8f519306c7ae4e6403f5538375ca4addd5a5,1082,3989456752676833066968,3989.456752676833066968
1760129615,23549837,0x15ef6b6f56a21793846601ad1fc94d6d43618736ae64693905dbc37373f3e7e8,205,3909431407864586336577,3909.431407864586336577
1760129675,23549842,0x6bec35bac90167d57aff9f45ae43a80c745b634e7badb4148651df0f969c341e,216,3935238796149399244448,3935.238796149399244448
1760129687,23549843,0x3151ae4c4b09fcbdd793840012cd19a1bb44058323c1243b3c3bba5290a005d3,146,3894135735652054235360,3894.13573565205423536
1760129711,23549845,0x9ff3063ce86d36be47a56c292ee94f362b297b44c450d985936816e537148abc,935,3921167396830634449732,3921.167396830634449732
1760129843,23549856,0xf06038c61cac43099273a1dca1ecf4d636e9632be519e8474c67bbe4190d8ac9,369,3881321974778924127677,3881.321974778924127677
1760129867,23549858,0xee1adc8d3706086a3db359b2bcd437e32b1cba0421a6e64ad1f80ff6ba0cae9b,76,3903632059173412812941,3903.632059173412812941
1760129999,23549869,0xa8b97e11ac7111ffcabd0b0ce3ad8c55ca81faf6f373adbed228b70b0bc5ead2,452,3880107044816602658856,3880.107044816602658856
1760130143,23549881,0xbde650d4e6a935fe6aee9378de90cfee3c94811e23fb206e3a5f0c23e6e4efe4,165,3900351359892361056759,3900.351359892361056759
1760130707,23549927,0x6028d7b634b5be55043a5fa5c215e33f87b6d85231654add964a9b53a852e43c,239,3872185356308697198807,3872.185356308697198807
1760130791,23549934,0x322ba138e9bbfee6f5afe8a626ca02fa66bf9300891d8e7acdfb1abb1d83a9e9,193,3805654675294038924396,3805.654675294038924396
1760130827,23549937,0x97815a1cb5244efb04872cbc529dd869af92131c1d80d9020c6ba789ba5a5ff3,2,3716848853753177489781,3716.848853753177489781
1760130863,23549940,0xf032f558b4d924dd5d8ebde03212ab5e250097d92465b324eba70b1709f7a0ec,944,3754410252545330037097,3754.410252545330037097
1760130899,23549943,0x3adef25b76858e609f1c53906d346df9b83af5eefd437b971bb6ce327bc245f7,387,3699728197065204448328,3699.728197065204448328
1760130995,23549951,0x9ba044713fd8e431cda5022472b47e6fdf825db279ef6f92c8f3c8ef003a17e3,198,3770810762053931795562,3770.810762053931795562
1760130995,23549951,0xf614acf763a585a2524475569934cbd9c63bd563a395c33741b9f3d2de0b5203,276,3734686190771562958644,3734.686190771562958644
1760131067,23549957,0x2b55715ed1d2efb9884454e76a865d0b429d96fcda90958e47e63cb2dd9778da,186,3584457032286431852949,3584.457032286431852949
1760131091,23549959,0xa2201d23e14b517f922c6015a6437403b8e15e8d25677000347887bf0fc304cd,766,3651932194347225111032,3651.932194347225111032
1760131127,23549962,0x987cdef3ca698b5011d61ccb0c87c2999729239d7df2dacc4480f9edf9bc2705,812,3595352871464552669401,3595.352871464552669401
1760131211,23549969,0x92f7769aa496ae565c804a15317ae5d0578d6b209e8285ca94f57ad93aac64be,79,3570941146105292343062,3570.941146105292343062
1760131211,23549969,0x235ccf91aaaa2a5d6f5c3820867e7ec5b6fa5970e4b305ee56cb8afd6675f511,440,3500760627967851347514,3500.760627967851347514
1760131247,23549972,0x951073f3b3176391375002a1c1047b47e229843cccb5907d6f8dd68bb5a0e972,659,3465135193566508701329,3465.135193566508701329
1760131295,23549976,0x3ef9ffa52e77d7a42169cf58d29a869287b99476d98f6f4e98ddc647596789e6,427,3524148660036886862434,3524.148660036886862434
